timestamp,aX,aY,aZ,gX,gY,gZ
307,-0.8059,-0.8260,-0.1750,53.1616,-52.5513,188.0493
308,-0.5082,-1.0063,-0.1993,7.2632,11.3525,252.2583
309,-0.4370,-1.1099,-0.1478,-114.1968,43.4570,219.2383
310,-0.0020,-1.2360,0.6028,-245.9717,175.7202,253.2959
311,0.0422,-1.2477,0.5166,-351.1963,133.3008,192.4438
312,0.3191,-1.0256,0.8035,-353.0884,171.0205,153.5034
313,0.4796,-0.3120,0.6934,-313.3545,67.9321,107.1167
314,0.6401,-0.0100,0.4086,-199.9512,-12.6343,41.3208
315,0.5037,0.1417,0.2750,-97.9614,-107.4829,87.8296
316,0.6342,0.2593,0.6262,-17.4561,-99.6094,96.0693
317,0.4047,0.4939,0.8048,-39.1846,-138.5498,159.3018
318,0.0308,0.7391,0.6581,-56.8848,-77.5146,159.5459
319,-0.2083,0.7853,0.6002,-77.5757,-43.7622,88.9282
320,-0.4355,0.7437,0.3147,-30.4565,-86.3647,55.6641
321,-0.5981,0.5685,0.1875,94.9707,-178.3447,-3.0518
322,-0.7695,0.3097,0.5100,264.4043,-250.8545,-66.6504
323,-0.7610,-0.0806,0.8002,294.9829,-259.8267,-118.9575
324,-1.0272,-0.2646,0.4725,296.6919,-274.9023,-50.3540
325,-0.9167,-0.4473,0.1879,268.9209,-198.6694,95.2148
326,-0.9196,-0.5917,0.2142,218.2007,-149.6582,157.4707
327,-0.6875,-0.8572,-0.1145,95.8862,-54.5654,232.5439
328,-0.5475,-1.1147,0.0095,20.8740,-16.6016,267.8833
329,-0.4436,-1.2496,0.3480,-129.4556,84.1675,290.4053
330,0.0243,-1.3298,0.4886,-234.3140,187.9883,297.4243
331,0.1982,-1.2305,0.3225,-180.1758,221.4355,239.6240
332,0.5941,-0.8209,0.5538,-278.1372,165.1001,194.7021
333,0.6389,-0.3077,0.3000,-349.6704,-102.0508,215.3931
334,0.5378,0.1425,0.3083,-190.3076,-93.5669,90.6372
335,0.5472,0.3704,0.4374,-58.9600,-164.6118,129.5776
336,0.5234,0.4998,0.7168,12.2070,-124.3286,115.7837
337,0.2163,0.5679,1.0449,1.5259,-188.5986,120.2393
338,-0.2240,0.7250,0.6635,3.5400,-132.3853,127.1362
339,-0.5001,0.7118,0.4458,-44.4336,-72.4487,82.4585
340,-0.5791,0.6228,0.3942,-54.2603,-53.1006,24.4751
341,-0.6885,0.4850,0.2004,140.8691,-185.2417,-64.1479
342,-0.6892,0.2167,0.3693,316.1621,-180.2979,-103.2715
343,-0.8069,-0.2217,0.4830,399.6582,-272.9492,-96.8628
344,-0.8251,-0.4730,0.4509,256.1035,-267.6392,68.2373
345,-0.9836,-0.5702,0.2550,261.1694,-151.3062,108.8867
346,-0.8798,-0.6162,0.0310,129.6997,-96.0083,122.4976
347,-0.7661,-0.8756,-0.1057,91.7358,-57.2510,212.1582
348,-0.4899,-1.0243,-0.2747,42.3584,-35.7056,214.5386
349,-0.2382,-1.2574,-0.0228,-183.8989,59.2041,252.3804
350,-0.0305,-1.3972,0.4100,-312.5610,185.4858,277.5879
351,0.3027,-1.0193,0.6005,-292.9687,223.8770,247.0093
352,0.6184,-0.6163,0.8103,-275.3906,95.0928,133.7891
353,0.7843,-0.2771,0.5195,-354.1870,-212.0361,211.1206
354,0.2279,0.2592,0.5234,-207.6416,-247.4365,132.2632
355,0.1306,0.3353,0.6218,-109.3750,-300.8423,196.5942
356,-0.2062,0.6851,0.5802,9.2163,-122.5586,14.5264
357,-0.0026,0.6017,0.6892,-6.2256,-2.3193,2.9907
358,-0.1190,0.6995,0.7682,0.5493,6.7139,-1.4648
359,-0.1833,0.6541,0.6010,-3.7842,12.6953,2.1362
360,-0.3584,0.7020,0.5896,-19.9585,-32.8369,30.6396
361,-0.5061,0.7136,0.4386,0.6714,-65.4297,5.6763
362,-0.5154,0.5060,0.3702,147.2778,-158.1421,-48.5229
363,-0.6167,0.1556,0.4370,300.4150,-213.7451,-93.3228
364,-1.1135,-0.3103,0.3793,375.1221,-307.7393,-77.8809
365,-0.8687,-0.6809,0.1693,266.9067,-299.3774,90.7593
366,-0.9884,-0.5063,0.0364,175.9644,-113.7695,135.0708
367,-0.7236,-0.8115,-0.2218,41.7480,-56.3965,166.5039
368,-0.7052,-0.9500,-0.2269,49.8047,-5.1270,241.0889
369,-0.2612,-1.2787,0.1189,-111.5112,-2.4414,274.1089
370,0.0153,-1.3258,0.2939,-220.0928,147.9492,339.0503
371,0.1357,-1.0706,0.2756,-171.0205,127.9907,223.9990
372,0.4553,-0.8696,0.5774,-344.2383,-0.3052,135.0708
373,0.5085,-0.2101,0.7050,-352.6611,-135.6812,143.6157
374,0.3087,0.2766,0.6453,-237.4878,-142.8833,114.2578
375,0.1809,0.4451,0.4474,-79.7119,-110.2905,3.6011
376,0.3292,0.4125,0.6642,-2.3804,-50.1709,12.2681
377,0.1881,0.6533,0.8629,-5.7373,-45.7764,37.1704
378,0.0510,0.6632,0.6334,8.1177,-16.8457,31.0059
379,-0.1381,0.7231,0.6395,-35.8276,-45.6543,50.2319
380,-0.2007,0.6608,0.5995,10.7422,-86.1816,27.4048
381,-0.5331,0.5859,0.4261,69.6411,-189.0259,33.0811
382,-0.6323,0.4355,0.8396,156.2500,-229.0649,-62.1948
383,-0.7705,0.1918,0.6943,180.7251,-184.0210,-69.4580
384,-0.7539,-0.1790,0.2778,293.8232,-228.1494,-43.2129
385,-0.9393,-0.2400,0.2234,231.3232,-258.3008,3.9673
386,-1.0272,-0.4266,0.2484,241.2109,-180.0537,130.1270
387,-1.0002,-0.4984,0.1561,144.4092,-116.0278,156.1279
388,-0.8496,-0.6725,-0.1005,64.6362,-62.6221,164.1235
389,-0.4119,-1.1080,0.0038,-30.3345,13.2446,268.1274
390,-0.3999,-1.3226,0.0540,-141.1133,91.0645,369.5679
391,-0.2531,-1.2994,0.6831,-301.5747,206.7261,291.7480
392,0.2596,-1.0923,0.8296,-543.9453,-28.0151,179.9316
393,0.1763,-0.1401,0.6362,-348.3276,-35.0342,52.4292
394,0.2911,0.0869,0.3998,-92.7124,-39.6729,-22.0337
395,0.4172,0.2563,0.8175,-59.0210,-76.9653,65.9180
396,0.2792,0.5153,0.8999,-88.3789,-63.2935,102.5391
