gX,gY,gZ
-150.3906,-211.1816,-28.0762
-143.1885,-233.9478,1.6479
-66.1621,-239.3188,-5.1880
-12.5122,-234.0698,-46.0815
-6.7749,-172.4243,-54.4434
54.1992,-134.4604,-72.5098
48.1567,-65.3687,-48.1567
-2.3804,-23.3765,5.1880
561.5845,-364.8682,-182.3120
373.5352,-356.6895,23.0713
311.0352,-361.5112,220.1538
379.4556,-224.4263,423.9502
361.0840,-177.4292,445.5566
196.3501,-152.9541,306.5796
91.9189,-100.1587,165.7104
44.4336,-69.8853,136.8408
39.6729,-65.0635,160.2783
17.3950,-73.0591,187.9272
-28.3813,-72.0215,220.1538
-53.7720,-59.1431,229.4922
-126.5259,-64.3311,218.6890
-191.5283,-25.3906,276.6113
-125.1831,28.0762,326.7822
-150.8789,19.7144,279.7241
-231.5674,1.9531,237.7930
-222.4731,19.4702,225.2197
-216.0645,-13.9771,165.7715
-255.7373,-161.9263,101.9897
-239.0137,-167.0532,46.0815
-254.5776,-247.6807,20.0806
-246.7651,-263.7939,23.4985
-206.7261,-217.2241,24.1089
-175.1099,-185.3027,-2.2583
-151.3062,-151.0010,1.2207
-114.2578,-180.8472,-3.4790
-124.8779,-223.6938,20.1416
-104.4922,-216.3696,39.0015
-25.5127,-188.6597,-1.7090
7.9956,-120.1782,-31.9214
-1.2207,-61.4624,-8.5449
393.4937,-361.3892,-144.8364
304.9927,-297.3022,-69.4580
323.0591,-215.7593,67.1387
284.4849,-171.3257,169.9219
246.8262,-163.8184,198.8525
202.9419,-156.9214,191.1621
125.0610,-134.2163,153.8086
113.4033,-117.6758,200.4395
98.1445,-117.1875,245.9106
79.8950,-109.0698,270.6299
71.8384,-107.7271,265.3809
53.1006,-92.8345,246.1548
-14.9536,-85.6323,233.9478
-37.9028,-64.0259,280.5786
-68.6035,-60.9131,241.1499
-168.6401,-48.5229,250.1831
-144.4702,11.5967,298.7671
-158.4473,-2.3193,242.6147
-194.0918,-0.8545,227.4780
-201.3550,31.9824,236.8774
-244.2017,-17.1509,196.8994
-276.7944,-138.1836,117.8589
-248.2300,-167.4194,79.4678
-209.5947,-208.1299,36.1328
-214.1724,-189.5142,3.9062
-195.4346,-221.0693,1.0376
-170.2271,-233.5205,-2.9907
-148.7427,-211.7310,-11.3525
-114.8071,-213.6841,-23.5596
-75.8667,-217.6514,-29.9683
-69.9463,-199.1577,-2.8687
-32.5928,-156.6162,-9.8267
570.2515,-317.7490,-335.7544
585.7544,-408.9966,-226.3184
220.1538,-271.9116,-79.8340
142.8223,-227.1729,-19.5313
187.8662,-201.9043,134.8267
158.6914,-151.4893,142.8833
95.8862,-109.8022,137.2070
107.4829,-107.5439,171.2036
99.1821,-104.2480,147.2778
98.2666,-100.3418,166.8091
88.6230,-110.1685,195.3125
68.9697,-106.9946,223.9990
-3.1128,-95.5200,277.0386
7.3242,-72.7539,329.4678
-58.4106,-81.4209,305.1147
-151.1230,-47.7295,337.2192
-79.8950,16.8457,366.8823
